2026-04-11 05:10:11.474 | INFO     | __main__:<module>:118 - Config saved → results/config_20260411_051011.json
2026-04-11 05:10:11.716 | INFO     | __main__:<module>:127 - Device: cuda
2026-04-11 05:10:11.747 | INFO     | __main__:<module>:134 -   GPU 0: Tesla T4, 15.6 GB
2026-04-11 05:10:11.748 | INFO     | __main__:<module>:134 -   GPU 1: Tesla T4, 15.6 GB
2026-04-11 05:10:11.748 | INFO     | __main__:<module>:225 - Loading target: TheBloke/Llama-2-7B-Chat-GPTQ
2026-04-11 05:10:18.307 | INFO     | __main__:_load_model:209 - Loading TheBloke/Llama-2-7B-Chat-GPTQ via transformers GPTQ (optimum backend)
2026-04-11 05:10:24.496 | INFO     | __main__:<module>:235 - Loading draft: TinyLlama/TinyLlama-1.1B-Chat-v1.0
2026-04-11 05:10:24.497 | INFO     | __main__:_load_model:216 - Loading TinyLlama/TinyLlama-1.1B-Chat-v1.0 fp16
2026-04-11 05:10:27.785 | INFO     | __main__:<module>:241 -   GPU 0: 2.75 GB allocated
2026-04-11 05:10:27.785 | INFO     | __main__:<module>:241 -   GPU 1: 3.35 GB allocated
2026-04-11 05:10:33.682 | INFO     | __main__:_safe_load:346 - Loaded openai_humaneval: 50 samples
2026-04-11 05:10:34.027 | WARNING  | __main__:_load_dataset_with_hub_fallback:262 - Dataset load failed via mirror (Couldn't find any data file at /kaggle/working/tree-acceptance/hendrycks/competition_math. Couldn't find 'hendrycks/competition_math' on the Hugging Face Hub either: LocalEntryNotFoundError: An error happened while trying to locate the file on the Hub and we cannot find the requested files in the local cache. Please check your connection and try again or make sure your Internet connection is on.); retrying via huggingface.co
2026-04-11 05:10:34.373 | WARNING  | __main__:_safe_load:349 - Skipping dataset hendrycks/competition_math due to load error: Couldn't find any data file at /kaggle/working/tree-acceptance/hendrycks/competition_math. Couldn't find 'hendrycks/competition_math' on the Hugging Face Hub either: LocalEntryNotFoundError: An error happened while trying to locate the file on the Hub and we cannot find the requested files in the local cache. Please check your connection and try again or make sure your Internet connection is on.
2026-04-11 05:10:37.846 | INFO     | __main__:_safe_load:346 - Loaded openai/gsm8k: 50 samples
2026-04-11 05:10:41.083 | WARNING  | __main__:_load_dataset_with_hub_fallback:262 - Dataset load failed via mirror (No (supported) data files found in anon8231489123/ShareGPT_Vicuna_unfiltered); retrying via huggingface.co
2026-04-11 05:10:45.340 | WARNING  | __main__:_load_dataset_with_hub_fallback:262 - Dataset load failed via mirror (No (supported) data files found in anon8231489123/ShareGPT_Vicuna_unfiltered); retrying via huggingface.co
2026-04-11 05:10:47.318 | WARNING  | __main__:_safe_load:349 - Skipping dataset ShareGPT due to load error: ShareGPT dataset/config unavailable: No (supported) data files found in anon8231489123/ShareGPT_Vicuna_unfiltered
2026-04-11 05:10:47.318 | INFO     | __main__:<module>:359 - Total samples: 100
2026-04-11 05:10:47.318 | INFO     | __main__:<module>:361 -   code: 50
2026-04-11 05:10:47.318 | INFO     | __main__:<module>:361 -   math: 0
2026-04-11 05:10:47.318 | INFO     | __main__:<module>:361 -   reasoning: 50
2026-04-11 05:10:47.319 | INFO     | __main__:<module>:361 -   chat: 0
